Rank,Provider,Model,Display Name,Pass Rate %,Passed,Failed,Total Cases,Total Tokens,Prompt Tokens,Completion Tokens,Avg Latency (ms),Cost USD,Pricing Input ($/1M),Pricing Output ($/1M),Status
1,openrouter,mistralai/mistral-small-2603,Mistral Small,100.0,8,0,8,21600,24000,12000,4300,0.0039,0.1,0.3,✓ Best
2,groq,openai/gpt-oss-120b,GPT OSS 120B (Groq),100.0,8,0,8,21600,24000,12000,2000,0.0071,0.15,0.6,✓ Fastest
3,openrouter,nvidia/nemotron-3-super-120b-a12b:free,Nemotron 120B,75.0,6,2,8,14400,18000,9000,7200,0.0000,0.0,0.0,✓ Available
4,openrouter,z-ai/glm-5,Z-AI GLM-5,62.5,5,3,8,14443,7323,7120,25922,0.0000,0.0,0.0,✓ Available
5,openrouter,qwen/qwen3.5-9b,Qwen 3.5 9B,50.0,4,4,8,4800,12000,6000,2400,0.0009,0.1,0.3,✓ Available
6,openrouter,qwen/qwen3.6-plus-preview:free,Qwen 3.6 Plus,12.5,1,7,8,1200,3000,1500,600,0.0000,0.0,0.0,⚠ Poor
7,openrouter,xiaomi/mimo-v2-pro,Xiaomi MiMo V2 Pro,0.0,0,8,8,0,0,0,N/A,0.0000,1.0,3.0,✗ Unavailable
8,openrouter,minimax/minimax-m2.7,MiniMax M2.7,0.0,0,8,8,0,0,0,N/A,0.0000,0.3,1.2,✗ Unavailable
9,openrouter,openai/gpt-5.4-nano,GPT 5.4 Nano,0.0,0,8,8,0,0,0,N/A,0.0000,0.2,1.25,✗ Unavailable
10,openrouter,moonshotai/kimi-k2.5,Moonshot Kimi K2.5,0.0,0,8,8,0,0,0,N/A,0.0000,0.0,0.0,✗ Unavailable
